nom_commune,code_postal,ville_cp
BUCY LE LONG,02880,BUCY LE LONG (02880)
BUCY LES CERNY,02870,BUCY LES CERNY (02870)
BUCY LES PIERREPONT,02350,BUCY LES PIERREPONT (02350)
BUIRE,02500,BUIRE (02500)
BUIRONFOSSE,02620,BUIRONFOSSE (02620)
BURELLES,02140,BURELLES (02140)
BUSSIARES,02810,BUSSIARES (02810)
BUZANCY,02200,BUZANCY (02200)
CAILLOUEL CREPIGNY,02300,CAILLOUEL CREPIGNY (02300)
CAMELIN,02300,CAMELIN (02300)
LA CAPELLE,02260,LA CAPELLE (02260)
CASTRES,02680,CASTRES (02680)
LE CATELET,02420,LE CATELET (02420)
CAULAINCOURT,02490,CAULAINCOURT (02490)
CAUMONT,02300,CAUMONT (02300)
CELLES LES CONDE,02330,CELLES LES CONDE (02330)
CELLES SUR AISNE,02370,CELLES SUR AISNE (02370)
CERIZY,02240,CERIZY (02240)
CERNY EN LAONNOIS,02860,CERNY EN LAONNOIS (02860)
CERNY LES BUCY,02870,CERNY LES BUCY (02870)
CERSEUIL,02220,CERSEUIL (02220)
CESSIERES SUZY,02320,CESSIERES SUZY (02320)
CHACRISE,02200,CHACRISE (02200)
CHAILLEVOIS,02000,CHAILLEVOIS (02000)
CHALANDRY,02270,CHALANDRY (02270)
CHAMBRY,02000,CHAMBRY (02000)
CHAMOUILLE,02860,CHAMOUILLE (02860)
CHAMPS,02670,CHAMPS (02670)
CHAOURSE,02340,CHAOURSE (02340)
LA CHAPELLE SUR CHEZY,02570,LA CHAPELLE SUR CHEZY (02570)
CHARLY SUR MARNE,02310,CHARLY SUR MARNE (02310)
LE CHARMEL,02850,LE CHARMEL (02850)
CHARMES,02800,CHARMES (02800)
CHARTEVES,02400,CHARTEVES (02400)
CHASSEMY,02370,CHASSEMY (02370)
CHATEAU THIERRY,02400,CHATEAU THIERRY (02400)
CHATILLON LES SONS,02270,CHATILLON LES SONS (02270)
CHATILLON SUR OISE,02240,CHATILLON SUR OISE (02240)
CHAUDARDES,02160,CHAUDARDES (02160)
CHAUDUN,02200,CHAUDUN (02200)
CHAUNY,02300,CHAUNY (02300)
CHAVIGNON,02000,CHAVIGNON (02000)
CHAVIGNY,02880,CHAVIGNY (02880)
CHAVONNE,02370,CHAVONNE (02370)
CHERET,02860,CHERET (02860)
CHERMIZY AILLES,02860,CHERMIZY AILLES (02860)
CHERY CHARTREUVE,02220,CHERY CHARTREUVE (02220)
CHERY LES POUILLY,02000,CHERY LES POUILLY (02000)
CHERY LES ROZOY,02360,CHERY LES ROZOY (02360)
CHEVENNES,02250,CHEVENNES (02250)
CHEVREGNY,02000,CHEVREGNY (02000)
CHEVRESIS MONCEAU,02270,CHEVRESIS MONCEAU (02270)
CHEZY EN ORXOIS,02810,CHEZY EN ORXOIS (02810)
CHEZY SUR MARNE,02570,CHEZY SUR MARNE (02570)
CHIERRY,02400,CHIERRY (02400)
CHIGNY,02120,CHIGNY (02120)
CHIVRES EN LAONNOIS,02350,CHIVRES EN LAONNOIS (02350)
CHIVRES VAL,02880,CHIVRES VAL (02880)
CHIVY LES ETOUVELLES,02000,CHIVY LES ETOUVELLES (02000)
CHOUY,02210,CHOUY (02210)
CIERGES,02130,CIERGES (02130)
CILLY,02250,CILLY (02250)
CIRY SALSOGNE,02220,CIRY SALSOGNE (02220)
CLACY ET THIERRET,02000,CLACY ET THIERRET (02000)
CLAIRFONTAINE,02260,CLAIRFONTAINE (02260)
CLAMECY,02880,CLAMECY (02880)
CLASTRES,02440,CLASTRES (02440)
CLERMONT LES FERMES,02340,CLERMONT LES FERMES (02340)
COEUVRES ET VALSERY,02600,COEUVRES ET VALSERY (02600)
COINCY,02210,COINCY (02210)
COINGT,02360,COINGT (02360)
COLLIGIS CRANDELAIN,02860,COLLIGIS CRANDELAIN (02860)
COLONFAY,02120,COLONFAY (02120)
COMMENCHON,02300,COMMENCHON (02300)
CONCEVREUX,02160,CONCEVREUX (02160)
CONDE EN BRIE,02330,CONDE EN BRIE (02330)
CONDE SUR AISNE,02370,CONDE SUR AISNE (02370)
CONDE SUR SUIPPE,02190,CONDE SUR SUIPPE (02190)
CONDREN,02700,CONDREN (02700)
CONNIGIS,02330,CONNIGIS (02330)
CONTESCOURT,02680,CONTESCOURT (02680)
CORBENY,02820,CORBENY (02820)
CORCY,02600,CORCY (02600)
COUCY LE CHATEAU AUFFRIQUE,02380,COUCY LE CHATEAU AUFFRIQUE (02380)
COUCY LES EPPES,02840,COUCY LES EPPES (02840)
COUCY LA VILLE,02380,COUCY LA VILLE (02380)
COULONGES COHAN,02130,COULONGES COHAN (02130)
COUPRU,02310,COUPRU (02310)
COURBES,02800,COURBES (02800)
COURBOIN,02330,COURBOIN (02330)
COURCELLES SUR VESLE,02220,COURCELLES SUR VESLE (02220)
COURCHAMPS,02810,COURCHAMPS (02810)
COURMELLES,02200,COURMELLES (02200)
COURMONT,02130,COURMONT (02130)
COURTEMONT VARENNES,02850,COURTEMONT VARENNES (02850)
COURTRIZY ET FUSSIGNY,02820,COURTRIZY ET FUSSIGNY (02820)
COUVRELLES,02220,COUVRELLES (02220)
COUVRON ET AUMENCOURT,02270,COUVRON ET AUMENCOURT (02270)
COYOLLES,02600,COYOLLES (02600)
CRAMAILLE,02130,CRAMAILLE (02130)
CRAONNE,02160,CRAONNE (02160)
CRAONNELLE,02160,CRAONNELLE (02160)
CRECY AU MONT,02380,CRECY AU MONT (02380)
CRECY SUR SERRE,02270,CRECY SUR SERRE (02270)
CREPY,02870,CREPY (02870)
CREZANCY,02650,CREZANCY (02650)
CROIX FONSOMME,02110,CROIX FONSOMME (02110)
LA CROIX SUR OURCQ,02210,LA CROIX SUR OURCQ (02210)
CROUTTES SUR MARNE,02310,CROUTTES SUR MARNE (02310)
CROUY,02880,CROUY (02880)
CRUPILLY,02120,CRUPILLY (02120)
CUFFIES,02880,CUFFIES (02880)
CUGNY,02480,CUGNY (02480)
CUIRIEUX,02350,CUIRIEUX (02350)
CUIRY HOUSSE,02220,CUIRY HOUSSE (02220)
CUIRY LES CHAUDARDES,02160,CUIRY LES CHAUDARDES (02160)
CUIRY LES IVIERS,02360,CUIRY LES IVIERS (02360)
CUISSY ET GENY,02160,CUISSY ET GENY (02160)
CUISY EN ALMONT,02200,CUISY EN ALMONT (02200)
CUTRY,02600,CUTRY (02600)
CYS LA COMMUNE,02220,CYS LA COMMUNE (02220)
DAGNY LAMBERCY,02140,DAGNY LAMBERCY (02140)
DALLON,02680,DALLON (02680)
DAMMARD,02470,DAMMARD (02470)
DAMPLEUX,02600,DAMPLEUX (02600)
DANIZY,02800,DANIZY (02800)
DERCY,02270,DERCY (02270)
DEUILLET,02700,DEUILLET (02700)
DHUIZEL,02220,DHUIZEL (02220)
DIZY LE GROS,02340,DIZY LE GROS (02340)
DOHIS,02360,DOHIS (02360)
DOLIGNON,02360,DOLIGNON (02360)
DOMMIERS,02600,DOMMIERS (02600)
DOMPTIN,02310,DOMPTIN (02310)
DORENGT,02450,DORENGT (02450)
DOUCHY,02590,DOUCHY (02590)
DRAVEGNY,02130,DRAVEGNY (02130)
DROIZY,02210,DROIZY (02210)
DURY,02480,DURY (02480)
EBOULEAU,02350,EBOULEAU (02350)
EFFRY,02500,EFFRY (02500)
ENGLANCOURT,02260,ENGLANCOURT (02260)
EPAGNY,02290,EPAGNY (02290)
EPARCY,02500,EPARCY (02500)
EPAUX BEZU,02400,EPAUX BEZU (02400)
EPIEDS,02400,EPIEDS (02400)
L EPINE AUX BOIS,02540,L EPINE AUX BOIS (02540)
EPPES,02840,EPPES (02840)
ERLON,02250,ERLON (02250)
ERLOY,02260,ERLOY (02260)
ESQUEHERIES,02170,ESQUEHERIES (02170)
ESSIGNY LE GRAND,02690,ESSIGNY LE GRAND (02690)
ESSIGNY LE PETIT,02100,ESSIGNY LE PETIT (02100)
ESSISES,02570,ESSISES (02570)
ESSOMES SUR MARNE,02400,ESSOMES SUR MARNE (02400)
ESTREES,02420,ESTREES (02420)
ETAMPES SUR MARNE,02400,ETAMPES SUR MARNE (02400)
ETAVES ET BOCQUIAUX,02110,ETAVES ET BOCQUIAUX (02110)
ETOUVELLES,02000,ETOUVELLES (02000)
ETREAUPONT,02580,ETREAUPONT (02580)
ETREILLERS,02590,ETREILLERS (02590)
ETREPILLY,02400,ETREPILLY (02400)
ETREUX,02510,ETREUX (02510)
EVERGNICOURT,02190,EVERGNICOURT (02190)
FAVEROLLES,02600,FAVEROLLES (02600)
FAYET,02100,FAYET (02100)
LA FERE,02800,LA FERE (02800)
FERE EN TARDENOIS,02130,FERE EN TARDENOIS (02130)
LA FERTE CHEVRESIS,02270,LA FERTE CHEVRESIS (02270)
LA FERTE MILON,02460,LA FERTE MILON (02460)
FESMY LE SART,02450,FESMY LE SART (02450)
FESTIEUX,02840,FESTIEUX (02840)
FIEULAINE,02110,FIEULAINE (02110)
LA FLAMENGRIE,02260,LA FLAMENGRIE (02260)
FLAVIGNY LE GRAND ET BEAURAIN,02120,FLAVIGNY LE GRAND ET BEAURAIN (02120)
FLAVY LE MARTEL,02520,FLAVY LE MARTEL (02520)
FLEURY,02600,FLEURY (02600)
FLUQUIERES,02590,FLUQUIERES (02590)
FOLEMBRAY,02670,FOLEMBRAY (02670)
FONSOMME,02110,FONSOMME (02110)
FONTAINE LES CLERCS,02680,FONTAINE LES CLERCS (02680)
FONTAINE LES VERVINS,02140,FONTAINE LES VERVINS (02140)
FONTAINE NOTRE DAME,02110,FONTAINE NOTRE DAME (02110)
FONTAINE UTERTE,02110,FONTAINE UTERTE (02110)
FONTENELLE,02170,FONTENELLE (02170)
FONTENOY,02290,FONTENOY (02290)
FORESTE,02590,FORESTE (02590)
FOSSOY,02650,FOSSOY (02650)
FOURDRAIN,02870,FOURDRAIN (02870)
FRANCILLY SELENCY,02760,FRANCILLY SELENCY (02760)
FRANQUEVILLE,02140,FRANQUEVILLE (02140)
FRESNES EN TARDENOIS,02130,FRESNES EN TARDENOIS (02130)
FRESNES SOUS COUCY,02380,FRESNES SOUS COUCY (02380)
FRESNOY LE GRAND,02230,FRESNOY LE GRAND (02230)
FRESSANCOURT,02800,FRESSANCOURT (02800)
FRIERES FAILLOUEL,02700,FRIERES FAILLOUEL (02700)
FROIDESTREES,02260,FROIDESTREES (02260)
FROIDMONT COHARTILLE,02270,FROIDMONT COHARTILLE (02270)
GANDELU,02810,GANDELU (02810)
GAUCHY,02430,GAUCHY (02430)
GERCY,02140,GERCY (02140)
GERGNY,02260,GERGNY (02260)
GERMAINE,02590,GERMAINE (02590)
GIBERCOURT,02440,GIBERCOURT (02440)
GIZY,02350,GIZY (02350)
GLAND,02400,GLAND (02400)
GOUDELANCOURT LES BERRIEUX,02820,GOUDELANCOURT LES BERRIEUX (02820)
GOUDELANCOURT LES PIERREPONT,02350,GOUDELANCOURT LES PIERREPONT (02350)
GOUSSANCOURT,02130,GOUSSANCOURT (02130)
GOUY,02420,GOUY (02420)
GRANDLUP ET FAY,02350,GRANDLUP ET FAY (02350)
GRANDRIEUX,02360,GRANDRIEUX (02360)
GRICOURT,02100,GRICOURT (02100)
GRISOLLES,02210,GRISOLLES (02210)
GRONARD,02140,GRONARD (02140)
GROUGIS,02110,GROUGIS (02110)
GRUGIES,02680,GRUGIES (02680)
VILLENEUVE SUR AISNE,02190,VILLENEUVE SUR AISNE (02190)
GUISE,02120,GUISE (02120)
GUIVRY,02300,GUIVRY (02300)
GUNY,02300,GUNY (02300)
GUYENCOURT,02160,GUYENCOURT (02160)
HANNAPES,02510,HANNAPES (02510)
HAPPENCOURT,02480,HAPPENCOURT (02480)
HARAMONT,02600,HARAMONT (02600)
HARCIGNY,02140,HARCIGNY (02140)
HARGICOURT,02420,HARGICOURT (02420)
HARLY,02100,HARLY (02100)
HARTENNES ET TAUX,02210,HARTENNES ET TAUX (02210)
HARY,02140,HARY (02140)
LEHAUCOURT,02420,LEHAUCOURT (02420)
HAUTEVESNES,02810,HAUTEVESNES (02810)
HAUTEVILLE,02120,HAUTEVILLE (02120)
HAUTION,02140,HAUTION (02140)
LA HERIE,02500,LA HERIE (02500)
LE HERIE LA VIEVILLE,02120,LE HERIE LA VIEVILLE (02120)
HINACOURT,02440,HINACOURT (02440)
HIRSON,02500,HIRSON (02500)
HOLNON,02760,HOLNON (02760)
HOMBLIERES,02720,HOMBLIERES (02720)
HOURY,02140,HOURY (02140)
HOUSSET,02250,HOUSSET (02250)
IRON,02510,IRON (02510)
ITANCOURT,02240,ITANCOURT (02240)
IVIERS,02360,IVIERS (02360)
JAULGONNE,02850,JAULGONNE (02850)
JEANCOURT,02490,JEANCOURT (02490)
JEANTES,02140,JEANTES (02140)
JONCOURT,02420,JONCOURT (02420)
JOUAIGNES,02220,JOUAIGNES (02220)
JUMENCOURT,02380,JUMENCOURT (02380)
JUMIGNY,02160,JUMIGNY (02160)
JUSSY,02480,JUSSY (02480)
JUVIGNY,02880,JUVIGNY (02880)
JUVINCOURT ET DAMARY,02190,JUVINCOURT ET DAMARY (02190)
LAFFAUX,02880,LAFFAUX (02880)
LAIGNY,02140,LAIGNY (02140)
LANCHY,02590,LANCHY (02590)
LANDIFAY ET BERTAIGNEMONT,02120,LANDIFAY ET BERTAIGNEMONT (02120)
LANDOUZY LA COUR,02140,LANDOUZY LA COUR (02140)
LANDOUZY LA VILLE,02140,LANDOUZY LA VILLE (02140)
LANDRICOURT,02380,LANDRICOURT (02380)
LANISCOURT,02000,LANISCOURT (02000)
LAON,02000,LAON (02000)
LAPPION,02150,LAPPION (02150)
LARGNY SUR AUTOMNE,02600,LARGNY SUR AUTOMNE (02600)
LATILLY,02210,LATILLY (02210)
LAUNOY,02210,LAUNOY (02210)
LAVAL EN LAONNOIS,02860,LAVAL EN LAONNOIS (02860)
LAVAQUERESSE,02450,LAVAQUERESSE (02450)
LAVERSINE,02600,LAVERSINE (02600)
LEME,02140,LEME (02140)
LEMPIRE,02420,LEMPIRE (02420)
LERZY,02260,LERZY (02260)
LESCHELLE,02170,LESCHELLE (02170)
LESDINS,02100,LESDINS (02100)
LESGES,02220,LESGES (02220)
LESQUIELLES ST GERMAIN,02120,LESQUIELLES ST GERMAIN (02120)
LEUILLY SOUS COUCY,02380,LEUILLY SOUS COUCY (02380)
LEURY,02880,LEURY (02880)
LEUZE,02500,LEUZE (02500)
LEVERGIES,02420,LEVERGIES (02420)
LHUYS,02220,LHUYS (02220)
LICY CLIGNON,02810,LICY CLIGNON (02810)
LIERVAL,02860,LIERVAL (02860)
LIESSE NOTRE DAME,02350,LIESSE NOTRE DAME (02350)
LIEZ,02700,LIEZ (02700)
LIME,02220,LIME (02220)
LISLET,02340,LISLET (02340)
LOGNY LES AUBENTON,02500,LOGNY LES AUBENTON (02500)
LONGPONT,02600,LONGPONT (02600)
LES SEPTVALLONS,02160,LES SEPTVALLONS (02160)
LOR,02190,LOR (02190)
LOUATRE,02600,LOUATRE (02600)
LOUPEIGNE,02130,LOUPEIGNE (02130)
LUCY LE BOCAGE,02400,LUCY LE BOCAGE (02400)
LUGNY,02140,LUGNY (02140)
LUZOIR,02500,LUZOIR (02500)
LY FONTAINE,02440,LY FONTAINE (02440)
MAAST ET VIOLAINE,02220,MAAST ET VIOLAINE (02220)
MACHECOURT,02350,MACHECOURT (02350)
MACOGNY,02470,MACOGNY (02470)
MACQUIGNY,02120,MACQUIGNY (02120)
MAGNY LA FOSSE,02420,MAGNY LA FOSSE (02420)
MAISSEMY,02490,MAISSEMY (02490)
MAIZY,02160,MAIZY (02160)
LA MALMAISON,02190,LA MALMAISON (02190)
MALZY,02120,MALZY (02120)
MANICAMP,02300,MANICAMP (02300)
MARCHAIS,02350,MARCHAIS (02350)
DHUYS ET MORIN EN BRIE,02330,DHUYS ET MORIN EN BRIE (02330)
DHUYS ET MORIN EN BRIE,02540,DHUYS ET MORIN EN BRIE (02540)
MARCY,02720,MARCY (02720)
MARCY SOUS MARLE,02250,MARCY SOUS MARLE (02250)
MAREST DAMPCOURT,02300,MAREST DAMPCOURT (02300)
MAREUIL EN DOLE,02130,MAREUIL EN DOLE (02130)
MARFONTAINE,02140,MARFONTAINE (02140)
MARGIVAL,02880,MARGIVAL (02880)
MARIGNY EN ORXOIS,02810,MARIGNY EN ORXOIS (02810)
MARIZY STE GENEVIEVE,02470,MARIZY STE GENEVIEVE (02470)
MARIZY ST MARD,02470,MARIZY ST MARD (02470)
MARLE,02250,MARLE (02250)
MARLY GOMONT,02120,MARLY GOMONT (02120)
MARTIGNY,02500,MARTIGNY (02500)
MARTIGNY COURPIERRE,02860,MARTIGNY COURPIERRE (02860)
MAUREGNY EN HAYE,02820,MAUREGNY EN HAYE (02820)
MAYOT,02800,MAYOT (02800)
MENNESSIS,02700,MENNESSIS (02700)
MENNEVRET,02630,MENNEVRET (02630)
MERCIN ET VAUX,02200,MERCIN ET VAUX (02200)
MERLIEUX ET FOUQUEROLLES,02000,MERLIEUX ET FOUQUEROLLES (02000)
MESBRECOURT RICHECOURT,02270,MESBRECOURT RICHECOURT (02270)
MESNIL ST LAURENT,02720,MESNIL ST LAURENT (02720)
MEURIVAL,02160,MEURIVAL (02160)
MEZIERES SUR OISE,02240,MEZIERES SUR OISE (02240)
MEZY MOULINS,02650,MEZY MOULINS (02650)
MISSY AUX BOIS,02200,MISSY AUX BOIS (02200)
MISSY LES PIERREPONT,02350,MISSY LES PIERREPONT (02350)
MISSY SUR AISNE,02880,MISSY SUR AISNE (02880)
MOLAIN,02110,MOLAIN (02110)
MOLINCHART,02000,MOLINCHART (02000)
MONAMPTEUIL,02000,MONAMPTEUIL (02000)
MONCEAU LE NEUF ET FAUCOUZY,02270,MONCEAU LE NEUF ET FAUCOUZY (02270)
MONCEAU LES LEUPS,02270,MONCEAU LES LEUPS (02270)
MONCEAU LE WAAST,02840,MONCEAU LE WAAST (02840)
MONCEAU SUR OISE,02120,MONCEAU SUR OISE (02120)
MONDREPUIS,02500,MONDREPUIS (02500)
MONNES,02470,MONNES (02470)
MONS EN LAONNOIS,02000,MONS EN LAONNOIS (02000)
MONTAIGU,02820,MONTAIGU (02820)
MONTBAVIN,02000,MONTBAVIN (02000)
MONTBREHAIN,02110,MONTBREHAIN (02110)
MONTCHALONS,02860,MONTCHALONS (02860)
MONTCORNET,02340,MONTCORNET (02340)
MONT D ORIGNY,02390,MONT D ORIGNY (02390)
MONTESCOURT LIZEROLLES,02440,MONTESCOURT LIZEROLLES (02440)
MONTFAUCON,02540,MONTFAUCON (02540)
MONTGOBERT,02600,MONTGOBERT (02600)
MONTGRU ST HILAIRE,02210,MONTGRU ST HILAIRE (02210)
MONTHENAULT,02860,MONTHENAULT (02860)
MONTHIERS,02400,MONTHIERS (02400)
MONTHUREL,02330,MONTHUREL (02330)
MONTIGNY EN ARROUAISE,02110,MONTIGNY EN ARROUAISE (02110)
MONTIGNY L ALLIER,02810,MONTIGNY L ALLIER (02810)
MONTIGNY LE FRANC,02250,MONTIGNY LE FRANC (02250)
MONTIGNY LENGRAIN,02290,MONTIGNY LENGRAIN (02290)
MONTIGNY LES CONDE,02330,MONTIGNY LES CONDE (02330)
MONTIGNY SOUS MARLE,02250,MONTIGNY SOUS MARLE (02250)
MONTIGNY SUR CRECY,02270,MONTIGNY SUR CRECY (02270)
MONTLEVON,02330,MONTLEVON (02330)
MONTLOUE,02340,MONTLOUE (02340)
MONT NOTRE DAME,02220,MONT NOTRE DAME (02220)
MONTREUIL AUX LIONS,02310,MONTREUIL AUX LIONS (02310)
MONT ST JEAN,02360,MONT ST JEAN (02360)
MONT ST MARTIN,02220,MONT ST MARTIN (02220)
MONT ST PERE,02400,MONT ST PERE (02400)
MORCOURT,02100,MORCOURT (02100)
MORGNY EN THIERACHE,02360,MORGNY EN THIERACHE (02360)
MORSAIN,02290,MORSAIN (02290)
MORTEFONTAINE,02600,MORTEFONTAINE (02600)
MORTIERS,02270,MORTIERS (02270)
MOULINS,02160,MOULINS (02160)
MOUSSY VERNEUIL,02160,MOUSSY VERNEUIL (02160)
MOY DE L AISNE,02610,MOY DE L AISNE (02610)
MURET ET CROUTTES,02210,MURET ET CROUTTES (02210)
MUSCOURT,02160,MUSCOURT (02160)
NAMPCELLES LA COUR,02140,NAMPCELLES LA COUR (02140)
NAMPTEUIL SOUS MURET,02200,NAMPTEUIL SOUS MURET (02200)
NANTEUIL LA FOSSE,02880,NANTEUIL LA FOSSE (02880)
NANTEUIL NOTRE DAME,02210,NANTEUIL NOTRE DAME (02210)
NAUROY,02420,NAUROY (02420)
NESLES LA MONTAGNE,02400,NESLES LA MONTAGNE (02400)
NEUFCHATEL SUR AISNE,02190,NEUFCHATEL SUR AISNE (02190)
NEUFLIEUX,02300,NEUFLIEUX (02300)
NEUILLY ST FRONT,02470,NEUILLY ST FRONT (02470)
NEUVE MAISON,02500,NEUVE MAISON (02500)
LA NEUVILLE BOSMONT,02250,LA NEUVILLE BOSMONT (02250)
LA NEUVILLE EN BEINE,02300,LA NEUVILLE EN BEINE (02300)
LA NEUVILLE HOUSSET,02250,LA NEUVILLE HOUSSET (02250)
LA NEUVILLE LES DORENGT,02450,LA NEUVILLE LES DORENGT (02450)
NEUVILLE ST AMAND,02100,NEUVILLE ST AMAND (02100)
NEUVILLE SUR AILETTE,02860,NEUVILLE SUR AILETTE (02860)
NEUVILLE SUR MARGIVAL,02880,NEUVILLE SUR MARGIVAL (02880)
NEUVILLETTE,02390,NEUVILLETTE (02390)
NIZY LE COMTE,02150,NIZY LE COMTE (02150)
NOGENTEL,02400,NOGENTEL (02400)
NOGENT L ARTAUD,02310,NOGENT L ARTAUD (02310)
NOIRCOURT,02340,NOIRCOURT (02340)
NOROY SUR OURCQ,02600,NOROY SUR OURCQ (02600)
LE NOUVION EN THIERACHE,02170,LE NOUVION EN THIERACHE (02170)
NOUVION ET CATILLON,02270,NOUVION ET CATILLON (02270)
NOUVION LE COMTE,02800,NOUVION LE COMTE (02800)
NOUVION LE VINEUX,02860,NOUVION LE VINEUX (02860)
NOUVRON VINGRE,02290,NOUVRON VINGRE (02290)
NOYALES,02120,NOYALES (02120)
BERNOY LE CHATEAU,02200,BERNOY LE CHATEAU (02200)
OEUILLY,02160,OEUILLY (02160)
OGNES,02300,OGNES (02300)
OHIS,02500,OHIS (02500)
OIGNY EN VALOIS,02600,OIGNY EN VALOIS (02600)
OISY,02450,OISY (02450)
OLLEZY,02480,OLLEZY (02480)
OMISSY,02100,OMISSY (02100)
ORAINVILLE,02190,ORAINVILLE (02190)
ORGEVAL,02860,ORGEVAL (02860)
ORIGNY EN THIERACHE,02550,ORIGNY EN THIERACHE (02550)
ORIGNY STE BENOITE,02390,ORIGNY STE BENOITE (02390)
OSLY COURTIL,02290,OSLY COURTIL (02290)
OSTEL,02370,OSTEL (02370)
OULCHES LA VALLEE FOULON,02160,OULCHES LA VALLEE FOULON (02160)
OULCHY LA VILLE,02210,OULCHY LA VILLE (02210)
OULCHY LE CHATEAU,02210,OULCHY LE CHATEAU (02210)
PAARS,02220,PAARS (02220)
PAISSY,02160,PAISSY (02160)
PANCY COURTECON,02860,PANCY COURTECON (02860)
PAPLEUX,02260,PAPLEUX (02260)
PARCY ET TIGNY,02210,PARCY ET TIGNY (02210)
PARFONDEVAL,02360,PARFONDEVAL (02360)
PARFONDRU,02840,PARFONDRU (02840)
PARGNAN,02160,PARGNAN (02160)
PARGNY ET FILAIN,02000,PARGNY ET FILAIN (02000)
PARGNY LA DHUYS,02330,PARGNY LA DHUYS (02330)
PARGNY LES BOIS,02270,PARGNY LES BOIS (02270)
PARPEVILLE,02240,PARPEVILLE (02240)
PASLY,02200,PASLY (02200)
PASSY EN VALOIS,02470,PASSY EN VALOIS (02470)
PASSY SUR MARNE,02850,PASSY SUR MARNE (02850)
PAVANT,02310,PAVANT (02310)
PERNANT,02200,PERNANT (02200)
PIERREMANDE,02300,PIERREMANDE (02300)
PIERREPONT,02350,PIERREPONT (02350)
PIGNICOURT,02190,PIGNICOURT (02190)
PINON,02320,PINON (02320)
PITHON,02480,PITHON (02480)
PLEINE SELVE,02240,PLEINE SELVE (02240)
LE PLESSIER HULEU,02210,LE PLESSIER HULEU (02210)
PLOISY,02200,PLOISY (02200)
PLOMION,02140,PLOMION (02140)
PLOYART ET VAURSEINE,02860,PLOYART ET VAURSEINE (02860)
POMMIERS,02200,POMMIERS (02200)
PONT ARCY,02160,PONT ARCY (02160)
PONTAVERT,02160,PONTAVERT (02160)
PONTRU,02490,PONTRU (02490)
PONTRUET,02490,PONTRUET (02490)
PONT ST MARD,02380,PONT ST MARD (02380)
POUILLY SUR SERRE,02270,POUILLY SUR SERRE (02270)
PREMONT,02110,PREMONT (02110)
PREMONTRE,02320,PREMONTRE (02320)
PRESLES ET BOVES,02370,PRESLES ET BOVES (02370)
PRESLES ET THIERNY,02860,PRESLES ET THIERNY (02860)
PRIEZ,02470,PRIEZ (02470)
PRISCES,02140,PRISCES (02140)
PROISY,02120,PROISY (02120)
PROIX,02120,PROIX (02120)
PROUVAIS,02190,PROUVAIS (02190)
PROVISEUX ET PLESNOY,02190,PROVISEUX ET PLESNOY (02190)
PUISEUX EN RETZ,02600,PUISEUX EN RETZ (02600)
PUISIEUX ET CLANLIEU,02120,PUISIEUX ET CLANLIEU (02120)
QUIERZY,02300,QUIERZY (02300)
QUINCY BASSE,02380,QUINCY BASSE (02380)
QUINCY SOUS LE MONT,02220,QUINCY SOUS LE MONT (02220)
RAILLIMONT,02360,RAILLIMONT (02360)
RAMICOURT,02110,RAMICOURT (02110)
REGNY,02240,REGNY (02240)
REMAUCOURT,02100,REMAUCOURT (02100)
REMIES,02270,REMIES (02270)
REMIGNY,02440,REMIGNY (02440)
RENANSART,02240,RENANSART (02240)
RENNEVAL,02340,RENNEVAL (02340)
RESIGNY,02360,RESIGNY (02360)
RESSONS LE LONG,02290,RESSONS LE LONG (02290)
RETHEUIL,02600,RETHEUIL (02600)
REUILLY SAUVIGNY,02850,REUILLY SAUVIGNY (02850)
RIBEAUVILLE,02110,RIBEAUVILLE (02110)
RIBEMONT,02240,RIBEMONT (02240)
ROCOURT ST MARTIN,02210,ROCOURT ST MARTIN (02210)
ROCQUIGNY,02260,ROCQUIGNY (02260)
ROGECOURT,02800,ROGECOURT (02800)
ROGNY,02140,ROGNY (02140)
ROMENY SUR MARNE,02310,ROMENY SUR MARNE (02310)
ROMERY,02120,ROMERY (02120)
RONCHERES,02130,RONCHERES (02130)
ROUCY,02160,ROUCY (02160)
ROUGERIES,02140,ROUGERIES (02140)
ROUPY,02590,ROUPY (02590)
ROUVROY,02100,ROUVROY (02100)
ROUVROY SUR SERRE,02360,ROUVROY SUR SERRE (02360)
ROYAUCOURT ET CHAILVET,02000,ROYAUCOURT ET CHAILVET (02000)
ROZET ST ALBIN,02210,ROZET ST ALBIN (02210)
ROZIERES SUR CRISE,02200,ROZIERES SUR CRISE (02200)
ROZOY BELLEVALLE,02540,ROZOY BELLEVALLE (02540)
GRAND ROZOY,02210,GRAND ROZOY (02210)
ROZOY SUR SERRE,02360,ROZOY SUR SERRE (02360)
SACONIN ET BREUIL,02200,SACONIN ET BREUIL (02200)
SAINS RICHAUMONT,02120,SAINS RICHAUMONT (02120)
ST ALGIS,02260,ST ALGIS (02260)
ST AUBIN,02300,ST AUBIN (02300)
ST BANDRY,02290,ST BANDRY (02290)
ST CHRISTOPHE A BERRY,02290,ST CHRISTOPHE A BERRY (02290)
ST CLEMENT,02360,ST CLEMENT (02360)
STE CROIX,02820,STE CROIX (02820)
ST ERME OUTRE ET RAMECOURT,02820,ST ERME OUTRE ET RAMECOURT (02820)
ST EUGENE,02330,ST EUGENE (02330)
STE GENEVIEVE,02340,STE GENEVIEVE (02340)
